wt3m, 12, 3, 114.373755, 30.540138333333335
ww9f, 28, 13, 115.26654166666667, 36.981725
xpkj, 22, 2, 140.7536, 41.77449166666667
xne1, 20, 1, 139.4962, 36.73932166666667
ucfw, 12, 1, 37.40613666666667, 55.96518666666667
tsk7, 166, 3, 73.68242, 24.5799
xn0x, 182, 7, 135.80850333333333, 35.06525
tseg, 4, 1, 73.11969716666667, 25.985541666666666
tszd, 9, 2, 78.0574195, 27.159686166666667
u8vx, 16, 1, 30.51777166666667, 50.46559166666667
wx4c, 2, 1, 116.39128, 39.628746666666665
9q9h, 79, 4, -122.07112782999998, 37.421995
wm3y, 7, 2, 104.02057783333333, 30.665878333333332
sv9h, 82, 3, 35.230195, 31.724325
sv2b, 2, 1, 34.970355, 29.581586666666666
gcpu, 4, 2, -0.12662783333333333, 51.500375
wx49, 1, 1, 116.3183, 39.7247
9q8v, 1, 1, -122.39015333, 37.615496670000006
ws0e, 281, 45, 113.23677, 23.1177195
9q9k, 21, 1, -121.94994499999999, 37.418400000000005
webv, 5, 1, 113.56313333333334, 22.148127833333334
u8vw, 79, 3, 30.521441666666668, 50.441575
gcpv, 1, 1, -0.076, 51.5093
xne0, 3, 1, 139.50353833333332, 36.738245
rcjq, 86, 1, 176.26318332999995, -38.1618945
xpkn, 13, 1, 140.6727, 41.985825
wtsm, 11, 1, 118.80518333, 31.939403329999998
xn0m, 8, 3, 135.50019666666665, 34.7016
wx4e, 567, 86, 116.34976166999999, 40.04461383
sv30, 32, 1, 35.41424166666667, 29.558375
wx5r, 22, 2, 117.26744166666667, 40.659411666666664
wtsq, 64, 1, 118.79256333000001, 32.0460445
xn77, 67, 5, 139.77812166666666, 35.68943
tske, 2, 1, 74.07723883333334, 24.539525
tsev, 135, 3, 73.01912783333333, 26.299478333333333
tp5w, 2, 2, 50.05251666666667, 40.46505333333333
u8vy, 5, 1, 30.685228333333335, 50.40233833333333
te7g, 88, 2, 72.83447166666667, 18.92652
xne3, 53, 1, 139.62231333333332, 36.757695
xpkp, 23, 2, 140.77128666666667, 42.0724945
sv8y, 2, 2, 34.872045, 32.004902783333335
xpv1, 10, 1, 142.23957833333333, 43.785705
tskn, 23, 1, 73.47297, 25.115897166666667
tdr0, 5, 1, 77.62640333333333, 12.756275
9qbf, 11, 1, -122.430655, 38.4549
xpsz, 1, 1, 141.91165333333333, 43.4235
wx4t, 10, 2, 116.21783333333333, 40.406758333333336
gcvw, 3, 2, -3.206645, 55.967
tdr1, 19, 2, 77.60553, 12.974958333333333
wm6n, 1, 1, 104.08033883333333, 30.655158333333333
tskr, 15, 1, 73.58048833333334, 25.149472166666666
wx4s, 15, 4, 116.25682833333333, 40.11472783333333
wx54, 109, 2, 116.77651166666666, 39.793438333333334
sv1p, 43, 2, 35.449261666666665, 29.4375
xpst, 29, 1, 141.34400833333333, 43.07041666666667
wx41, 20, 2, 115.65435833333333, 39.62835333333334
tsz6, 33, 2, 78.04126666666667, 27.175228333333333
ws0q, 2, 1, 113.11798050000002, 23.57452
wtms, 2, 1, 120.43184166666667, 30.240386666666666
xpsk, 2, 1, 141.16276666666667, 42.964955
9q8y, 129, 7, -122.4108, 37.78519167
rckn, 157, 3, 174.42826999999997, -36.83416167
tue0, 11, 2, 83.01335278333333, 25.31883
rckw, 1, 1, 175.0794, -36.7876
tu7p, 49, 2, 83.015525, 25.306775000000002
xpsy, 3, 1, 141.90695333333332, 43.411145
rckq, 192, 7, 174.76458667000006, -36.86513833
sv8w, 42, 4, 34.79767, 32.07505833333333
tu3m, 1, 1, 80.57257, 24.920655
tdr7, 2, 1, 77.710625, 13.200811666666667
tu6x, 1, 1, 82.50097833333334, 25.265395
svc7, 10, 1, 35.55088833333333, 32.87155333333333
sv9m, 1, 1, 35.575203333333334, 31.891546666666667
tsk3, 2, 1, 73.769225, 24.193255
wx4f, 123, 17, 116.50575333333333, 39.87916666666667
xp7z, 2, 1, 140.61401333333333, 42.0171055
webw, 11, 2, 113.54702832999999, 22.194571669999995
sv9k, 16, 1, 35.58336666666667, 31.718936666666668
wtw3, 5, 3, 121.49608666666667, 31.2003
ws07, 1, 1, 113.19645500000001, 23.104924999999998
weby, 1, 1, 113.55558, 22.1499555
ws10, 12, 2, 114.05931116666666, 22.534521666666667
tsh5, 1, 1, 73.44688333333333, 23.1003055
9q8z, 49, 5, -122.42151667, 37.80417167
xpv3, 4, 2, 142.47277833333334, 43.781778333333335
svc0, 4, 1, 35.504738333333336, 32.49763
wx4y, 12, 1, 116.561255, 40.435105
wwc2, 1, 1, 114.50475333333333, 38.09656116666667
sv31, 1, 1, 35.30594166666667, 29.710166666666666
xn0r, 24, 2, 135.66134666666667, 35.06128616666667
xn76, 209, 7, 139.71684166666665, 35.661525
xn05, 1, 1, 135.24492, 34.434538333333336
xpss, 19, 2, 141.35005333333334, 43.06420833333333
ww96, 1, 1, 114.48516166999998, 37.06123617
wx4g, 1674, 421, 116.46180833000001, 39.94591333333334
ws0t, 8, 3, 113.31056166666667, 23.41472
xn0t, 6, 1, 135.84008833333334, 34.68223833333333
rcjr, 46, 3, 176.21368332999998, -38.135872170000006
xpsm, 13, 1, 141.00736945, 43.089127833333336
wx4d, 20, 8, 116.31816167, 39.89535832999999
ws7g, 2, 1, 118.06065283000001, 24.452121670000004
tsks, 1, 1, 74.0933695, 24.621258333333333
9q9j, 67, 2, -122.25592000000002, 37.52419167000001
xn0w, 6, 1, 135.80589166666667, 34.88971333333333
sv3h, 50, 1, 35.447655, 30.336288333333332
ttng, 1, 1, 77.23048333333334, 28.656145
xn7r, 3, 1, 139.85908666666666, 36.55128666666667
wecn, 55, 5, 114.13649716666667, 22.276483333333335
te7u, 6, 1, 72.87433666666666, 18.98515
wx4u, 4, 2, 116.60942833333333, 40.0786445
u8vz, 1, 1, 30.625988333333332, 50.455263333333335
ws0d, 10, 2, 113.26822, 22.989028330000004
rckm, 1, 1, 174.73225333, -36.926238330000004
svc6, 5, 1, 35.543245, 32.784211666666664
xps4, 9, 2, 140.82112166666667, 42.56651333333333
w7jz, 78, 3, 109.49638333333333, 18.2116
ttnf, 38, 4, 77.210245, 28.6438
xpv2, 27, 1, 142.48208666666667, 43.76817833333333
